timestamp,open,high,low,close,volume
1773320400000,70381.80000000,70534.65000000,70340.39000000,70413.04000000,101.69953000
1773321300000,70413.05000000,70429.09000000,69990.00000000,70111.28000000,247.46363000
1773322200000,70111.27000000,70462.76000000,69942.93000000,70079.52000000,356.92908000
1773323100000,70079.34000000,70142.65000000,69645.00000000,69972.15000000,634.68316000
1773324000000,69972.20000000,70417.68000000,69964.56000000,70381.33000000,499.30413000
1773324900000,70381.33000000,70660.69000000,69923.03000000,69953.32000000,663.51375000
1773325800000,69953.32000000,70002.70000000,69383.00000000,69589.99000000,609.51151000
1773326700000,69590.00000000,69772.72000000,69355.34000000,69590.09000000,358.34903000
1773327600000,69590.09000000,69772.75000000,69476.14000000,69750.00000000,263.51594000
1773328500000,69750.00000000,70430.81000000,69703.24000000,70299.22000000,583.36467000
1773329400000,70299.21000000,70565.43000000,70142.38000000,70379.45000000,560.96429000
1773330300000,70379.44000000,70500.00000000,70234.13000000,70334.88000000,370.65973000
1773331200000,70334.89000000,70500.00000000,69905.71000000,70122.87000000,404.34135000
1773332100000,70122.86000000,70569.15000000,70053.13000000,70063.65000000,342.50333000
1773333000000,70063.64000000,70471.30000000,70040.00000000,70381.51000000,306.81039000
1773333900000,70381.50000000,70519.99000000,70245.24000000,70381.16000000,217.76280000
1773334800000,70381.15000000,70547.19000000,70344.82000000,70429.76000000,168.42516000
1773335700000,70429.75000000,70528.00000000,70202.84000000,70300.01000000,227.27976000
1773336600000,70300.01000000,70444.64000000,70242.75000000,70360.87000000,250.36252000
1773337500000,70360.87000000,70418.20000000,70076.16000000,70212.06000000,197.86807000
1773338400000,70212.05000000,70303.51000000,70073.81000000,70202.85000000,139.05091000
1773339300000,70202.84000000,70273.28000000,69877.88000000,70019.71000000,210.73302000
1773340200000,70019.71000000,70100.00000000,69870.95000000,69924.69000000,225.65876000
1773341100000,69924.69000000,69943.00000000,69800.00000000,69819.64000000,167.41529000
1773342000000,69819.64000000,69954.65000000,69770.85000000,69934.87000000,143.23639000
1773342900000,69934.88000000,70220.72000000,69934.87000000,70209.97000000,247.32520000
1773343800000,70209.98000000,70348.00000000,70202.16000000,70311.30000000,136.86743000
1773344700000,70311.29000000,70548.81000000,70264.83000000,70432.32000000,230.41762000
1773345600000,70432.33000000,70555.20000000,70356.00000000,70400.00000000,138.45176000
1773346500000,70399.99000000,70422.26000000,70261.06000000,70307.03000000,331.16732000
1773347400000,70307.03000000,70307.03000000,70128.41000000,70130.34000000,60.54595000
1773348300000,70130.35000000,70236.24000000,70111.28000000,70164.49000000,88.02050000
1773349200000,70164.50000000,70470.00000000,70164.50000000,70386.91000000,103.94667000
1773350100000,70386.91000000,70410.31000000,70258.79000000,70289.11000000,55.92429000
1773351000000,70289.11000000,70294.43000000,70200.91000000,70277.22000000,72.40811000
1773351900000,70277.21000000,70383.48000000,70234.65000000,70268.55000000,123.62326000
1773352800000,70268.54000000,70305.26000000,70149.35000000,70204.92000000,101.70879000
1773353700000,70204.93000000,70280.70000000,70116.36000000,70180.62000000,178.50012000
1773354600000,70180.62000000,70224.40000000,70033.33000000,70059.16000000,97.35200000
1773355500000,70059.17000000,70178.16000000,70013.17000000,70175.64000000,89.86393000
1773356400000,70175.64000000,70484.04000000,70159.35000000,70470.01000000,227.73795000
1773357300000,70470.00000000,70734.25000000,70461.69000000,70537.45000000,232.85057000
1773358200000,70537.44000000,70666.00000000,70466.92000000,70630.91000000,246.03040000
1773359100000,70630.90000000,70665.63000000,70480.88000000,70541.34000000,187.96296000
1773360000000,70541.34000000,71118.59000000,70386.01000000,71118.58000000,662.99656000
1773360900000,71118.58000000,71759.60000000,71105.33000000,71482.53000000,1126.38806000
1773361800000,71482.53000000,72000.00000000,71482.53000000,71512.01000000,726.28147000
1773362700000,71512.02000000,71554.91000000,71244.40000000,71475.61000000,341.64505000
1773363600000,71475.60000000,71694.00000000,71471.40000000,71592.36000000,206.64242000
1773364500000,71592.36000000,71759.95000000,71471.72000000,71527.19000000,230.53753000
1773365400000,71527.20000000,71706.63000000,71283.99000000,71610.42000000,287.96924000
1773366300000,71610.43000000,71706.00000000,71561.68000000,71672.39000000,250.59747000
1773367200000,71672.38000000,71696.68000000,71502.54000000,71546.23000000,277.12079000
1773368100000,71546.23000000,71619.86000000,71426.15000000,71454.56000000,336.51894000
1773369000000,71454.56000000,71485.55000000,71155.72000000,71175.00000000,203.34220000
1773369900000,71175.00000000,71278.28000000,71045.52000000,71143.80000000,177.83345000
1773370800000,71143.80000000,71270.03000000,71099.57000000,71174.49000000,135.97878000
1773371700000,71174.50000000,71287.82000000,71070.81000000,71093.82000000,115.66073000
1773372600000,71093.81000000,71193.31000000,70964.43000000,71152.37000000,212.10390000
1773373500000,71152.37000000,71508.87000000,71115.63000000,71405.75000000,464.07793000
1773374400000,71405.76000000,71493.77000000,71345.14000000,71371.10000000,91.33321000
1773375300000,71371.10000000,71374.99000000,71214.01000000,71319.52000000,443.33585000
1773376200000,71319.52000000,71417.15000000,71271.43000000,71403.09000000,62.48430000
1773377100000,71403.09000000,71437.08000000,71308.82000000,71393.94000000,183.77162000
1773378000000,71393.93000000,71436.67000000,71242.02000000,71271.83000000,209.98509000
1773378900000,71271.83000000,71450.00000000,71259.34000000,71413.80000000,292.40175000
1773379800000,71413.79000000,71622.04000000,71413.79000000,71600.01000000,247.59042000
1773380700000,71600.01000000,71637.54000000,71476.04000000,71546.29000000,428.92680000
1773381600000,71546.28000000,71593.22000000,71450.49000000,71466.21000000,121.20805000
1773382500000,71466.22000000,71500.33000000,71211.25000000,71241.61000000,240.75178000
1773383400000,71241.61000000,71339.84000000,71180.19000000,71259.75000000,584.80760000
1773384300000,71259.75000000,71383.00000000,71198.15000000,71342.00000000,135.20861000
1773385200000,71342.00000000,71500.00000000,71236.08000000,71423.43000000,182.20458000
1773386100000,71423.42000000,71584.57000000,71402.83000000,71513.96000000,162.02934000
1773387000000,71513.95000000,71600.00000000,71382.05000000,71575.40000000,397.27233000
1773387900000,71575.39000000,71672.76000000,71526.21000000,71612.22000000,398.32565000
1773388800000,71612.23000000,71650.68000000,71385.28000000,71471.72000000,186.13100000
1773389700000,71471.72000000,71599.40000000,71438.00000000,71588.04000000,242.78532000
1773390600000,71588.04000000,72142.85000000,71574.14000000,71934.00000000,943.14588000
1773391500000,71934.00000000,71950.06000000,71695.37000000,71821.02000000,448.10576000
1773392400000,71821.01000000,71975.59000000,71739.35000000,71755.42000000,471.96713000
1773393300000,71755.43000000,71828.78000000,71589.81000000,71818.07000000,107.02602000
1773394200000,71818.06000000,71936.62000000,71788.99000000,71875.40000000,158.98733000
1773395100000,71875.40000000,72100.37000000,71850.80000000,72006.57000000,187.23394000
1773396000000,72006.56000000,72256.37000000,71995.53000000,72253.73000000,471.12821000
1773396900000,72253.73000000,72489.00000000,72249.79000000,72347.52000000,497.52212000
1773397800000,72347.52000000,72566.00000000,72325.59000000,72494.38000000,396.33085000
1773398700000,72494.38000000,72575.98000000,72352.03000000,72458.12000000,270.37009000
1773399600000,72458.11000000,72526.12000000,72232.41000000,72298.43000000,290.97139000
1773400500000,72298.43000000,72490.00000000,72294.54000000,72326.50000000,143.19650000
1773401400000,72326.50000000,72364.44000000,72256.50000000,72310.48000000,126.75820000
1773402300000,72310.48000000,72352.61000000,72207.41000000,72228.82000000,163.49096000
1773403200000,72228.81000000,72445.00000000,72210.00000000,72420.00000000,139.02820000
1773404100000,72420.00000000,72510.26000000,72331.71000000,72412.15000000,129.92272000
1773405000000,72412.15000000,72631.53000000,72330.67000000,72342.09000000,248.64050000
1773405900000,72342.09000000,72884.68000000,72342.08000000,72784.73000000,625.34099000
1773406800000,72784.73000000,72919.26000000,72684.88000000,72793.44000000,300.31069000
1773407700000,72793.43000000,73264.17000000,72709.53000000,73023.17000000,1315.75619000
1773408600000,73023.17000000,73320.73000000,72750.27000000,73270.78000000,787.66138000
1773409500000,73270.78000000,73585.27000000,73239.65000000,73379.18000000,893.67375000
1773410400000,73379.18000000,73593.00000000,73238.83000000,73501.36000000,660.16426000
1773411300000,73501.35000000,73897.00000000,73339.54000000,73738.52000000,1416.58148000
1773412200000,73738.52000000,73913.74000000,72940.00000000,72946.70000000,1178.51056000
1773413100000,72946.69000000,72983.56000000,72350.00000000,72382.72000000,1302.79401000
1773414000000,72382.72000000,72690.00000000,72168.00000000,72646.55000000,1030.49476000
1773414900000,72646.55000000,72829.12000000,72455.01000000,72463.71000000,620.78242000
1773415800000,72463.71000000,72593.69000000,71877.10000000,71981.67000000,551.90644000
1773416700000,71981.68000000,72249.94000000,71736.34000000,71831.46000000,1102.27109000
1773417600000,71831.46000000,71944.57000000,71583.46000000,71728.20000000,503.92074000
1773418500000,71728.21000000,71761.24000000,71154.54000000,71393.26000000,743.92141000
1773419400000,71393.25000000,71875.00000000,71379.70000000,71830.49000000,493.78163000
1773420300000,71830.48000000,72100.00000000,71761.25000000,71885.57000000,592.72232000
1773421200000,71885.56000000,72139.44000000,71879.55000000,72116.00000000,272.21519000
1773422100000,72116.01000000,72249.99000000,71595.71000000,71659.82000000,750.97930000
1773423000000,71659.81000000,71688.10000000,71058.82000000,71198.81000000,409.32864000
1773423900000,71198.80000000,71277.02000000,70914.09000000,71037.93000000,457.17761000
1773424800000,71037.93000000,71238.50000000,70937.91000000,71218.06000000,223.02625000
1773425700000,71218.06000000,71258.90000000,70841.23000000,71195.34000000,311.63117000
1773426600000,71195.33000000,71350.94000000,71178.54000000,71238.60000000,91.80396000
1773427500000,71238.59000000,71249.93000000,71008.20000000,71055.45000000,111.72661000
1773428400000,71055.45000000,71277.84000000,71006.19000000,71224.27000000,118.99035000
1773429300000,71224.27000000,71309.94000000,71020.50000000,71082.04000000,123.38370000
1773430200000,71082.04000000,71211.75000000,71041.38000000,71136.47000000,116.83863000
1773431100000,71136.47000000,71256.56000000,71092.21000000,71189.95000000,147.86555000
