timestamp,open,high,low,close,volume
1757304000000,111004.80,111580.70,110852.10,111236.40,9409.023
1757318400000,111236.50,112144.00,111201.00,112022.00,24016.679
1757332800000,112022.00,112867.60,111800.00,112573.60,28275.809
1757347200000,112573.60,112635.00,111927.00,112051.00,14865.987
1757361600000,112050.00,112460.40,111847.00,112012.60,8408.535
1757376000000,112012.70,112055.70,111050.00,111657.60,19290.250
1757390400000,111657.70,113238.00,111576.70,112950.10,31921.636
1757404800000,112950.20,113134.30,112350.00,112397.40,12841.685
1757419200000,112397.50,112900.00,110714.90,110830.10,49386.303
1757433600000,110830.10,111342.00,110738.60,111242.30,14928.609
1757448000000,111242.40,111692.30,111041.10,111499.90,8906.650
1757462400000,111499.90,111545.00,110855.80,111498.90,17185.891
1757476800000,111498.90,112555.00,111316.80,112500.10,16775.302
1757491200000,112500.00,112832.00,112060.00,112266.40,19366.674
1757505600000,112266.50,114287.90,112266.40,113801.30,64026.700
1757520000000,113801.30,114046.80,113111.00,113525.20,21631.484
1757534400000,113525.30,114005.00,113468.40,113896.80,12915.488
1757548800000,113896.80,114433.20,113614.50,114354.40,11183.876
1757563200000,114354.40,114419.90,113900.00,114040.00,11621.630
1757577600000,114040.10,114161.00,113722.20,113960.90,11061.871
1757592000000,113961.00,114691.70,113340.70,114122.30,50084.085
1757606400000,114122.40,114564.00,114008.50,114370.50,11930.936
1757620800000,114370.40,115439.00,114195.00,115427.00,17183.680
1757635200000,115427.00,116280.00,114993.00,115138.30,31719.513
1757649600000,115138.30,115613.00,115024.30,115049.00,12398.784
1757664000000,115048.90,115243.50,114833.80,114863.00,13385.479
1757678400000,114863.00,115445.90,114681.50,115064.90,18827.404
1757692800000,115064.80,116605.70,114989.90,116561.10,27949.158
1757707200000,116561.00,116561.00,115701.40,115978.40,14733.380
1757721600000,115978.40,116245.40,115500.10,115913.60,10867.694
1757736000000,115913.60,115913.60,115594.90,115715.50,6578.872
1757750400000,115715.50,116126.00,115715.50,115912.90,6897.627
1757764800000,115913.00,116013.70,115546.10,115721.30,9103.390
1757779200000,115721.40,115780.30,115032.00,115751.40,15004.094
1757793600000,115751.40,115946.40,115745.60,115862.70,4077.913
1757808000000,115862.70,116075.80,115580.00,115626.00,7677.134
1757822400000,115626.00,115884.10,115406.10,115746.00,4741.452
1757836800000,115746.10,116118.60,115700.30,115750.00,7509.269
1757851200000,115750.00,115828.10,115100.50,115162.20,15997.510
1757865600000,115162.20,115605.50,115132.40,115597.40,5946.542
1757880000000,115597.30,116050.00,115057.00,115210.00,13216.083
1757894400000,115210.00,115536.00,114777.00,115387.60,13576.469
1757908800000,115387.70,116759.90,115341.80,115769.50,27463.691
1757923200000,115769.60,115769.60,114588.00,115009.00,30239.543
1757937600000,115009.00,115045.50,114338.50,114788.40,25881.909
1757952000000,114788.10,115528.80,114542.60,115246.70,14288.385
1757966400000,115246.70,115550.00,115141.40,115300.60,6461.282
1757980800000,115300.50,115490.80,114890.00,115250.90,8274.606
1757995200000,115250.80,115968.00,114867.00,115799.40,18532.273
1758009600000,115799.40,115945.00,115151.00,115222.20,9903.929
1758024000000,115222.10,115878.20,114600.00,115877.90,24558.996
1758038400000,115877.90,116830.00,115549.90,116758.00,28427.493
1758052800000,116757.10,116910.80,116543.70,116747.30,9748.887
1758067200000,116747.30,117081.90,116317.00,116320.10,11721.837
1758081600000,116320.20,117266.40,116107.20,117120.50,19903.725
1758096000000,117120.50,117156.60,116197.00,116200.10,14747.898
1758110400000,116200.10,116493.00,115340.00,115825.10,27934.073
1758124800000,115825.10,116316.00,114623.30,115587.60,61585.442
1758139200000,115587.50,116940.00,115257.10,116402.50,22232.095
1758153600000,116402.60,117865.90,116033.50,117531.20,30344.595
1758168000000,117531.30,117713.50,116834.50,117033.60,17350.923
1758182400000,117033.70,117381.90,116955.00,117015.00,10057.804
1758196800000,117015.00,117789.90,116913.90,117530.30,22097.569
1758211200000,117530.20,117875.20,117133.00,117403.00,12457.020
1758225600000,117402.90,117605.80,116489.70,117017.10,14907.806
1758240000000,117017.10,117406.80,116800.00,116914.20,10269.210
1758254400000,116914.10,117049.90,116567.30,116850.10,12862.505
1758268800000,116850.00,117050.60,116250.70,116343.10,13997.595
1758283200000,116343.30,116488.00,115408.40,115826.90,27296.129
1758297600000,115826.90,116093.00,115057.00,115082.40,16518.271
1758312000000,115082.40,115600.00,115049.90,115569.50,7207.939
1758326400000,115569.60,115670.00,115355.00,115394.20,4785.626
1758340800000,115394.30,115933.40,115343.00,115909.80,6258.545
1758355200000,115909.90,115914.40,115605.60,115834.90,6129.028
1758369600000,115834.90,116059.20,115750.60,115928.50,6527.830
1758384000000,115928.40,116017.90,115636.60,115636.60,5001.456
1758398400000,115636.60,115887.60,115549.90,115624.90,3653.193
1758412800000,115625.00,115671.20,115388.00,115613.80,4830.646
1758427200000,115613.80,115772.90,115430.20,115772.90,4856.719
1758441600000,115772.80,115778.00,115277.00,115559.30,6594.717
1758456000000,115559.30,115703.90,115413.00,115471.10,4436.358
1758470400000,115471.00,115620.00,115158.00,115441.00,6740.608
1758484800000,115441.00,115510.70,115137.60,115183.90,5334.383
1758499200000,115183.90,115344.60,114050.00,114602.90,34217.270
1758513600000,114602.90,114604.90,111469.20,112454.40,53970.686
1758528000000,112454.50,112927.00,112119.00,112814.10,16269.606
1758542400000,112814.00,113413.50,112333.00,112768.70,26147.892
1758556800000,112768.70,112839.00,111866.30,112072.90,17130.484
1758571200000,112072.80,112942.40,111924.60,112604.70,11725.630
1758585600000,112604.70,112808.40,111405.10,112294.00,21299.087
1758600000000,112294.00,113080.00,111804.90,113048.10,19008.272
1758614400000,113048.10,113236.00,112634.00,112938.60,12834.182
1758628800000,112938.60,113254.80,112390.60,112828.60,16574.487
1758643200000,112828.60,112927.80,111482.00,111611.80,22467.091
1758657600000,111611.70,112178.00,111413.50,111947.00,10075.145
1758672000000,111947.00,112466.60,111622.40,111639.70,16182.590
1758686400000,111639.80,112732.80,110935.00,112544.70,23001.272
1758700800000,112544.70,113121.80,112356.40,112982.00,14830.326
1758715200000,112982.00,113850.00,112760.00,113299.90,27960.187
1758729600000,113300.00,113895.80,113107.40,113371.70,14802.650
1758744000000,113371.70,113590.00,113143.30,113254.00,8537.071
1758758400000,113253.90,113462.10,112155.60,112485.80,27168.994
1758772800000,112485.70,112574.60,111389.00,111708.50,26475.190
1758787200000,111708.50,112220.30,111234.80,111316.10,15940.854
1758801600000,111316.00,111682.60,110555.00,111538.40,42099.500
1758816000000,111538.40,111636.60,108574.10,109320.50,50538.879
1758830400000,109320.50,109637.30,108694.80,108934.50,16440.324
1758844800000,108934.60,109766.00,108750.00,109537.60,17356.486
1758859200000,109537.50,109588.80,108841.00,109257.30,19163.400
1758873600000,109257.40,109653.60,108566.00,109082.90,18038.068
1758888000000,109082.90,109742.30,108656.80,108976.00,28268.466
1758902400000,108976.00,110250.00,108953.70,109115.90,22207.427
1758916800000,109115.80,109641.60,109028.70,109588.50,7243.812
1758931200000,109588.50,109700.00,109267.30,109503.80,7435.557
1758945600000,109503.80,109694.20,109284.30,109354.80,4334.991
1758960000000,109354.90,109449.20,109021.90,109265.80,7603.852
1758974400000,109265.80,109444.20,109145.00,109340.70,7048.089
1758988800000,109340.80,109397.60,109188.10,109369.30,5170.985
1759003200000,109369.40,109653.20,109305.50,109577.30,4278.450
1759017600000,109577.20,109749.90,109284.10,109397.30,8565.210
1759032000000,109397.30,109500.00,109203.90,109468.50,4028.334
1759046400000,109468.40,109544.80,109188.00,109319.90,7836.570
1759060800000,109319.90,109990.00,109136.50,109990.00,16361.203
1759075200000,109990.00,110350.00,109952.20,110281.60,12576.758
1759089600000,110281.70,112300.00,110236.60,112119.60,27879.888
1759104000000,112119.70,112269.30,111517.30,111817.90,18747.416
1759118400000,111817.90,111860.00,111501.00,111814.70,12523.860
1759132800000,111814.80,112381.30,111814.70,112052.00,15639.613
1759147200000,112052.00,114188.00,111844.30,113752.00,48549.611
1759161600000,113752.00,114349.70,113404.50,114204.80,17519.655
1759176000000,114204.90,114377.20,113960.60,114257.10,12425.554
1759190400000,114257.10,114800.00,113985.10,114321.50,18219.208
1759204800000,114321.50,114321.50,113531.70,113662.40,15263.367
