timestamp,open,high,low,close,volume
1757044800000,111311.78000000,112999.00000000,111144.51000000,112954.32000000,3481.17531000
1757059200000,112954.32000000,112985.00000000,112131.02000000,112354.00000000,1956.82884000
1757073600000,112354.00000000,113384.62000000,110286.91000000,110716.82000000,9805.88987000
1757088000000,110716.82000000,111627.51000000,110206.96000000,111614.54000000,2167.09419000
1757102400000,111614.54000000,111700.00000000,110375.60000000,110659.99000000,2510.84487000
1757116800000,110660.00000000,111307.70000000,110552.56000000,111082.22000000,800.18218000
1757131200000,111082.23000000,111082.23000000,110687.69000000,110825.60000000,687.98406000
1757145600000,110825.59000000,110968.00000000,110675.58000000,110781.02000000,621.90211000
1757160000000,110781.03000000,110999.83000000,110358.11000000,110384.15000000,886.00942000
1757174400000,110384.16000000,110402.00000000,109977.00000000,110038.41000000,1391.66059000
1757188800000,110038.42000000,110282.82000000,110034.44000000,110187.97000000,612.56061000
1757203200000,110187.98000000,110733.12000000,110180.00000000,110629.15000000,948.63792000
1757217600000,110629.15000000,110911.42000000,110463.10000000,110753.42000000,872.74711000
1757232000000,110753.41000000,111377.19000000,110720.01000000,111292.13000000,1214.41306000
1757246400000,111292.12000000,111412.00000000,111042.60000000,111329.99000000,837.52385000
1757260800000,111329.99000000,111371.35000000,110861.20000000,111259.99000000,940.48526000
1757275200000,111259.99000000,111600.00000000,111001.45000000,111137.34000000,867.49224000
1757289600000,111137.35000000,111372.00000000,110621.78000000,111052.11000000,1701.47085000
1757304000000,111052.11000000,111609.04000000,110899.69000000,111280.39000000,1330.12513000
1757318400000,111280.40000000,112186.98000000,111252.90000000,112052.43000000,2723.68786000
1757332800000,112052.43000000,112924.37000000,111877.64000000,112631.75000000,3018.22348000
1757347200000,112631.74000000,112670.06000000,111978.67000000,112097.31000000,1681.81458000
1757361600000,112097.31000000,112512.71000000,111896.00000000,112065.23000000,1127.08021000
1757376000000,112065.23000000,112104.41000000,111111.00000000,111708.00000000,2091.77038000
1757390400000,111708.01000000,113293.29000000,111624.12000000,112991.11000000,2906.59440000
1757404800000,112991.11000000,113176.51000000,112403.91000000,112433.59000000,1848.92022000
1757419200000,112433.59000000,112950.00000000,110766.66000000,110880.76000000,4662.13241000
1757433600000,110880.76000000,111388.04000000,110788.00000000,111301.53000000,2121.49527000
1757448000000,111301.53000000,111745.69000000,111090.07000000,111546.39000000,1748.36980000
1757462400000,111546.38000000,111586.26000000,110917.45000000,111545.88000000,1667.04272000
1757476800000,111545.88000000,112602.35000000,111372.42000000,112553.65000000,2477.25860000
1757491200000,112553.65000000,112859.80000000,112097.20000000,112299.99000000,2579.59736000
1757505600000,112300.00000000,114313.13000000,112299.99000000,113853.99000000,6630.72074000
1757520000000,113853.99000000,114074.46000000,113155.03000000,113574.52000000,2628.46871000
1757534400000,113574.53000000,114025.78000000,113528.01000000,113960.00000000,1534.33010000
1757548800000,113960.00000000,114434.23000000,113669.82000000,114400.01000000,1596.62879000
1757563200000,114400.01000000,114459.65000000,113957.20000000,114083.58000000,1954.14285000
1757577600000,114083.58000000,114200.00000000,113776.00000000,113999.99000000,1512.60333000
1757592000000,113999.99000000,114715.02000000,113430.00000000,114180.31000000,5143.69337000
1757606400000,114180.32000000,114605.54000000,114102.00000000,114419.99000000,1437.71411000
1757620800000,114420.00000000,115488.09000000,114246.04000000,115482.69000000,2031.94874000
1757635200000,115482.69000000,116331.81000000,115045.45000000,115194.14000000,3703.00155000
1757649600000,115194.14000000,115656.87000000,115086.70000000,115086.70000000,1630.41759000
1757664000000,115086.70000000,115273.12000000,114888.01000000,114913.45000000,1958.78975000
1757678400000,114913.45000000,115500.95000000,114740.99000000,115121.18000000,2042.13901000
1757692800000,115121.18000000,116665.63000000,115030.30000000,116632.51000000,3863.84437000
1757707200000,116632.51000000,116632.51000000,115752.68000000,116029.42000000,2125.91492000
1757721600000,116029.41000000,116298.78000000,115576.26000000,115957.00000000,2254.31226000
1757736000000,115957.00000000,115957.01000000,115657.81000000,115778.71000000,1062.20470000
1757750400000,115778.72000000,116166.71000000,115767.33000000,115974.11000000,1228.90503000
1757764800000,115974.11000000,116060.00000000,115603.98000000,115768.68000000,1373.33567000
1757779200000,115768.68000000,115817.37000000,115127.27000000,115797.12000000,1589.96184000
1757793600000,115797.12000000,115991.29000000,115797.11000000,115918.29000000,760.68444000
1757808000000,115918.29000000,116109.00000000,115651.99000000,115679.98000000,879.64203000
1757822400000,115679.99000000,115936.00000000,115449.59000000,115805.39000000,914.78349000
1757836800000,115805.39000000,116165.19000000,115748.78000000,115794.91000000,840.40714000
1757851200000,115794.92000000,115878.49000000,115141.80000000,115224.01000000,2036.51269000
1757865600000,115224.01000000,115657.50000000,115193.90000000,115634.99000000,869.12927000
